split_id,model,n_test,n_invalid_test,accuracy,f1_valid,f1_invalid,precision_invalid,recall_invalid,recall_invalid_ci_low_wilson,recall_invalid_ci_high_wilson,roc_auc,brier,log_loss,ece_10bin
26,live_blind_all_valid_baseline,1600,150,0.90625,0.9508196721311475,0.0,0.0,0.0,0.0,0.02497113914571871,0.5,0.09375,3.3790925052297327,0.09375
26,ml_validity_classifier,1600,150,1.0,1.0,1.0,1.0,1.0,0.9750288608542812,1.0,1.0,0.009568182964171026,0.0672277301185592,0.061594888955910254
27,live_blind_all_valid_baseline,1600,150,0.90625,0.9508196721311475,0.0,0.0,0.0,0.0,0.02497113914571871,0.5,0.09375,3.379092505229733,0.09375
27,ml_validity_classifier,1600,150,0.998125,0.9989644459785986,0.9900990099009901,0.9803921568627451,1.0,0.9750288608542812,1.0,0.9999862068965517,0.011226390664496884,0.07275693334078856,0.06480813322352363
28,live_blind_all_valid_baseline,1600,150,0.90625,0.9508196721311475,0.0,0.0,0.0,0.0,0.02497113914571871,0.5,0.09375,3.379092505229733,0.09375
28,ml_validity_classifier,1600,150,1.0,1.0,1.0,1.0,1.0,0.9750288608542812,1.0,1.0,0.009725958077633745,0.06914614214709112,0.06341945925233004
29,live_blind_all_valid_baseline,1600,150,0.90625,0.9508196721311475,0.0,0.0,0.0,0.0,0.02497113914571871,0.5,0.09375,3.3790925052297327,0.09375
29,ml_validity_classifier,1600,150,1.0,1.0,1.0,1.0,1.0,0.9750288608542812,1.0,1.0,0.010423011635159822,0.07042235010529949,0.06420830779268608
30,live_blind_all_valid_baseline,1600,150,0.90625,0.9508196721311475,0.0,0.0,0.0,0.0,0.02497113914571871,0.5,0.09375,3.379092505229733,0.09375
30,ml_validity_classifier,1600,150,0.999375,0.9996552912788693,0.9966555183946488,1.0,0.9933333333333333,0.9632062470660241,0.9988222289768665,0.9999954022988505,0.010298137969411349,0.07053961076322376,0.0637176640465264
