timestamp_utc,mem_used,mem_limit,mem_percent
2026-05-17T12:01:40.987323+00:00,51.48MiB,7.606GiB,0.66
2026-05-17T12:01:58.300506+00:00,51.48MiB,7.606GiB,0.66
2026-05-17T12:02:02.300330+00:00,51.48MiB,7.606GiB,0.66
2026-05-17T12:02:06.327000+00:00,51.48MiB,7.606GiB,0.66
2026-05-17T12:02:10.349999+00:00,51.5MiB,7.606GiB,0.66
2026-05-17T12:02:27.629602+00:00,51.32MiB,7.606GiB,0.66
2026-05-17T12:02:31.643405+00:00,51.32MiB,7.606GiB,0.66
2026-05-17T12:02:35.667089+00:00,51.5MiB,7.606GiB,0.66
2026-05-17T12:02:39.679962+00:00,51.52MiB,7.606GiB,0.66
2026-05-17T12:02:56.956010+00:00,51.52MiB,7.606GiB,0.66
2026-05-17T12:03:00.986806+00:00,51.52MiB,7.606GiB,0.66
2026-05-17T12:03:04.996209+00:00,51.52MiB,7.606GiB,0.66
2026-05-17T12:03:09.012592+00:00,51.54MiB,7.606GiB,0.66
2026-05-17T12:03:26.268513+00:00,51.35MiB,7.606GiB,0.66
2026-05-17T12:03:30.274868+00:00,51.36MiB,7.606GiB,0.66
2026-05-17T12:03:34.289626+00:00,51.36MiB,7.606GiB,0.66
2026-05-17T12:03:38.320495+00:00,51.56MiB,7.606GiB,0.66
2026-05-17T12:03:55.583218+00:00,51.56MiB,7.606GiB,0.66
2026-05-17T12:03:59.588668+00:00,51.56MiB,7.606GiB,0.66
2026-05-17T12:04:03.611321+00:00,51.57MiB,7.606GiB,0.66
2026-05-17T12:04:07.635222+00:00,51.59MiB,7.606GiB,0.66
2026-05-17T12:04:24.936108+00:00,51.74MiB,7.606GiB,0.66
2026-05-17T12:04:28.949423+00:00,51.45MiB,7.606GiB,0.66
2026-05-17T12:04:32.969914+00:00,51.44MiB,7.606GiB,0.66
2026-05-17T12:04:36.980928+00:00,51.63MiB,7.606GiB,0.66
2026-05-17T12:04:54.250067+00:00,51.64MiB,7.606GiB,0.66
2026-05-17T12:04:58.282857+00:00,51.64MiB,7.606GiB,0.66
2026-05-17T12:05:02.296125+00:00,51.64MiB,7.606GiB,0.66
2026-05-17T12:05:06.320527+00:00,51.66MiB,7.606GiB,0.66
2026-05-17T12:05:23.533596+00:00,51.65MiB,7.606GiB,0.66
2026-05-17T12:05:27.551862+00:00,51.47MiB,7.606GiB,0.66
2026-05-17T12:05:31.579447+00:00,51.48MiB,7.606GiB,0.66
2026-05-17T12:05:35.598612+00:00,51.49MiB,7.606GiB,0.66
2026-05-17T12:05:52.856198+00:00,51.68MiB,7.606GiB,0.66
2026-05-17T12:05:56.865572+00:00,51.68MiB,7.606GiB,0.66
2026-05-17T12:06:00.885764+00:00,51.68MiB,7.606GiB,0.66
2026-05-17T12:06:04.903214+00:00,51.69MiB,7.606GiB,0.66
2026-05-17T12:06:22.985195+00:00,51.69MiB,7.606GiB,0.66
2026-05-17T12:06:27.026294+00:00,51.5MiB,7.606GiB,0.66
2026-05-17T12:06:31.028072+00:00,51.51MiB,7.606GiB,0.66
2026-05-17T12:06:35.051202+00:00,51.52MiB,7.606GiB,0.66
2026-05-17T12:06:52.365157+00:00,51.71MiB,7.606GiB,0.66
2026-05-17T12:06:56.360206+00:00,51.71MiB,7.606GiB,0.66
2026-05-17T12:07:00.382786+00:00,51.71MiB,7.606GiB,0.66
2026-05-17T12:07:04.404124+00:00,51.73MiB,7.606GiB,0.66
2026-05-17T12:07:21.719698+00:00,51.72MiB,7.606GiB,0.66
2026-05-17T12:07:25.754458+00:00,51.54MiB,7.606GiB,0.66
2026-05-17T12:07:29.791423+00:00,51.57MiB,7.606GiB,0.66
2026-05-17T12:07:33.806804+00:00,51.56MiB,7.606GiB,0.66
2026-05-17T12:07:51.121451+00:00,51.75MiB,7.606GiB,0.66
2026-05-17T12:07:55.131427+00:00,51.74MiB,7.606GiB,0.66
2026-05-17T12:07:59.151408+00:00,51.75MiB,7.606GiB,0.66
2026-05-17T12:08:03.165447+00:00,51.76MiB,7.606GiB,0.66
2026-05-17T12:08:20.420902+00:00,51.76MiB,7.606GiB,0.66
2026-05-17T12:08:24.422297+00:00,51.76MiB,7.606GiB,0.66
2026-05-17T12:08:28.451193+00:00,51.76MiB,7.606GiB,0.66
2026-05-17T12:08:32.472413+00:00,51.78MiB,7.606GiB,0.66
2026-05-17T12:08:49.730412+00:00,51.79MiB,7.606GiB,0.66
2026-05-17T12:08:53.774387+00:00,51.79MiB,7.606GiB,0.66
2026-05-17T12:08:57.800403+00:00,51.79MiB,7.606GiB,0.66
2026-05-17T12:09:01.842569+00:00,51.8MiB,7.606GiB,0.67
2026-05-17T12:09:19.165004+00:00,51.81MiB,7.606GiB,0.67
2026-05-17T12:09:23.173607+00:00,52.06MiB,7.606GiB,0.67
2026-05-17T12:09:27.192942+00:00,51.88MiB,7.606GiB,0.67
2026-05-17T12:09:31.210250+00:00,52.16MiB,7.606GiB,0.67
2026-05-17T12:09:48.515086+00:00,51.84MiB,7.606GiB,0.67
2026-05-17T12:09:52.541438+00:00,51.84MiB,7.606GiB,0.67
2026-05-17T12:09:56.559340+00:00,51.84MiB,7.606GiB,0.67
2026-05-17T12:10:00.575132+00:00,51.86MiB,7.606GiB,0.67
2026-05-17T12:59:41.851653+00:00,52MiB,7.606GiB,0.67
