timestamp_utc,cpu_percent
2026-05-17T11:36:36.287120+00:00,0.04
2026-05-17T11:36:40.162955+00:00,0.03
2026-05-17T11:36:44.158534+00:00,0.03
2026-05-17T11:36:48.354303+00:00,0.02
2026-05-17T11:37:05.713272+00:00,0.03
2026-05-17T11:37:09.569932+00:00,0.02
2026-05-17T11:37:13.578387+00:00,0.00
2026-05-17T11:37:17.713246+00:00,0.04
2026-05-17T11:37:35.109861+00:00,0.03
2026-05-17T11:37:38.972124+00:00,0.03
2026-05-17T11:37:42.980083+00:00,0.03
2026-05-17T11:37:47.112589+00:00,0.05
2026-05-17T11:38:04.391339+00:00,0.05
2026-05-17T11:38:08.270438+00:00,0.03
2026-05-17T11:38:12.251969+00:00,0.00
2026-05-17T11:38:16.371659+00:00,0.05
2026-05-17T11:38:33.724165+00:00,0.02
2026-05-17T11:38:37.602250+00:00,0.04
2026-05-17T11:38:41.601056+00:00,0.03
2026-05-17T11:38:45.744293+00:00,0.04
2026-05-17T11:54:05.490643+00:00,0.03
2026-05-17T11:54:09.377340+00:00,0.03
2026-05-17T11:54:13.365577+00:00,0.26
2026-05-17T11:54:17.501312+00:00,0.14
2026-05-17T11:54:34.827783+00:00,0.02
2026-05-17T11:54:38.733700+00:00,0.02
2026-05-17T11:54:42.693577+00:00,0.00
2026-05-17T11:54:46.909756+00:00,0.06
2026-05-17T11:55:04.263426+00:00,0.03
2026-05-17T11:55:08.110521+00:00,0.04
2026-05-17T11:55:12.148153+00:00,0.03
2026-05-17T11:55:16.263964+00:00,0.04
2026-05-17T11:55:33.562220+00:00,0.03
2026-05-17T11:55:37.448195+00:00,0.02
2026-05-17T11:55:41.434805+00:00,0.00
2026-05-17T11:55:45.572187+00:00,0.04
2026-05-17T11:56:02.881445+00:00,0.04
2026-05-17T11:56:06.740203+00:00,0.03
2026-05-17T11:56:10.752593+00:00,0.06
2026-05-17T11:56:14.895203+00:00,0.05
2026-05-17T11:56:33.035409+00:00,0.03
2026-05-17T11:56:36.898021+00:00,0.00
2026-05-17T11:56:40.943473+00:00,0.00
2026-05-17T11:56:45.045716+00:00,0.05
2026-05-17T11:57:02.430642+00:00,0.03
2026-05-17T11:57:06.288650+00:00,0.03
2026-05-17T11:57:10.291738+00:00,0.03
2026-05-17T11:57:14.410709+00:00,0.04
2026-05-17T11:57:31.752855+00:00,0.05
2026-05-17T11:57:35.613026+00:00,0.03
2026-05-17T11:57:39.623258+00:00,0.00
2026-05-17T11:57:43.720779+00:00,0.04
2026-05-17T11:58:01.033020+00:00,0.04
2026-05-17T11:58:04.902317+00:00,0.02
2026-05-17T11:58:08.893391+00:00,0.03
2026-05-17T11:58:13.021417+00:00,0.01
2026-05-17T11:58:30.387394+00:00,0.02
2026-05-17T11:58:34.258365+00:00,0.03
